CASE;Alter;IT;Geschlecht;Extraversion;Agreeableness;Conscientiousness;Neuroticism;Openess;PE01;PE02;PE03;PE04;PE05;PE06;PE07;PE08;PE09;PE10;PE11;PE12;PE13;PE14;PE15;PE16;PE17;PE18;PE19;PE20;PE21;emojiPos;twoWordPos;threeClassPos;U101;U103;U104;U201;U202;U203;U301;U302;U303;emojiDif;twoWordDif;threeClassDif;pos1;pos2;pos3;emojiRat;twoWordRat;threeClassRat;emojiTime;twoWordTime;threeClassTime
844;30;2;1;13;17;10;12;16;3;2;3;2;4;2;5;4;2;5;2;2;2;2;3;4;2;3;4;2;4;1;0;2;2;4;4;3;5;3;2;3;4;11,00;8,00;7,00;3;1;2;2;3;1;77203;98035;25531
845;28;1;1;14;10;15;11;11;2;4;5;2;5;5;4;4;4;2;3;4;4;4;2;2;4;4;3;1;5;0;2;1;1;4;5;1;1;5;1;1;1;6,00;7,00;3,00;3;2;1;3;2;1;71746;64228;32502
851;25;2;2;11;12;16;16;18;4;3;4;4;4;4;3;2;2;4;4;4;4;4;2;3;2;4;4;4;2;0;2;1;5;5;1;1;2;4;3;4;4;15,00;9,00;5,00;2;3;1;3;1;2;207508;52986;30058
852;26;2;1;14;11;17;6;19;3;1;4;2;4;5;1;2;5;3;3;3;4;2;4;3;4;5;1;4;2;0;2;1;3;2;3;4;3;2;4;3;2;8,00;11,00;11,00;3;2;1;3;2;1;74732;87917;82275
853;29;2;3;13;12;14;10;12;2;3;2;3;1;1;1;2;4;3;2;2;4;2;4;4;2;4;3;2;4;1;2;0;1;1;5;1;1;5;1;1;5;3,00;3,00;3,00;3;2;1;3;2;1;76094;29571;51752
855;27;1;1;18;12;18;7;21;2;4;5;2;5;5;4;2;4;2;1;3;4;2;5;4;3;5;1;5;2;1;0;2;4;5;5;3;5;5;3;5;5;9,00;10,00;9,00;3;1;2;2;3;1;53921;101828;30533
858;25;2;2;14;10;16;8;15;3;4;4;1;5;5;4;3;4;3;3;4;4;3;3;3;4;5;2;2;4;1;2;0;1;1;5;2;3;3;1;1;5;8,00;3,00;3,00;2;3;1;3;1;2;57276;31882;59970
860;22;2;2;8;10;15;16;17;4;4;5;4;4;2;3;3;2;3;3;3;4;4;2;1;4;3;4;4;2;0;1;2;3;2;2;4;2;2;4;2;2;9,00;10,00;10,00;3;2;1;3;2;1;61710;40524;83608
862;23;2;2;11;15;15;13;20;4;3;4;3;3;4;5;3;2;3;3;3;4;2;4;2;2;4;4;5;1;2;1;0;1;1;5;1;1;5;1;4;5;6,00;3,00;3,00;3;2;1;3;2;1;81262;48985;66051
864;20;1;2;16;12;15;11;19;2;3;4;3;5;4;3;4;4;5;2;3;4;4;4;4;3;5;2;3;4;0;1;2;3;4;3;3;3;3;2;3;4;10,00;9,00;7,00;3;2;1;3;2;1;238477;119369;57520
867;23;1;2;11;18;16;12;12;3;2;5;3;2;4;5;4;4;5;4;2;5;3;2;2;1;4;4;2;5;1;2;0;2;1;4;2;1;4;1;1;3;5,00;5,00;5,00;3;1;2;2;3;1;71532;48811;64254
868;22;2;2;17;13;13;13;22;2;4;4;2;5;4;5;4;2;5;1;2;4;5;3;4;4;3;2;4;1;2;1;0;5;1;3;5;1;2;1;3;5;5,00;10,00;9,00;3;2;1;3;2;1;47718;102812;87713
869;20;2;2;18;18;14;12;25;2;1;3;3;5;5;4;3;4;5;2;1;4;5;5;5;2;4;2;5;1;1;2;0;3;3;2;3;3;3;3;3;3;9,00;9,00;10,00;3;1;2;2;3;1;97508;86575;227651
870;18;1;1;8;9;13;8;17;4;3;4;2;4;3;3;4;4;4;5;5;4;2;4;2;4;3;2;3;4;1;0;2;3;4;3;3;5;3;3;2;3;11,00;10,00;8,00;3;2;1;3;2;1;65271;38685;39362
873;26;1;1;7;16;15;7;20;5;1;4;2;4;2;5;3;4;5;4;4;4;1;4;2;2;4;2;4;3;2;1;0;1;1;5;1;1;5;1;1;5;3,00;3,00;3,00;3;2;1;3;2;1;48678;77424;19548
874;24;1;2;9;15;14;12;22;4;1;4;3;4;4;4;4;3;4;5;2;4;2;4;2;4;4;4;5;1;2;0;1;2;3;4;3;3;3;2;3;4;7,00;7,00;9,00;2;1;3;2;1;3;36206;45486;62284
877;25;2;2;11;11;14;12;19;4;2;4;3;1;1;1;3;3;4;2;2;3;3;4;4;4;4;3;5;1;1;2;0;3;2;5;4;4;3;4;5;2;11,00;13,00;6,00;1;3;2;1;3;2;55457;73089;75762
879;20;2;2;9;10;14;14;19;4;4;4;3;4;2;2;3;3;5;4;3;3;4;4;3;3;4;4;3;3;2;1;0;2;2;4;2;2;2;2;2;3;7,00;8,00;6,00;3;2;1;3;2;1;170988;130537;138054
881;23;1;1;13;8;11;11;14;3;4;4;3;3;3;2;5;4;4;2;4;2;4;2;3;4;4;2;3;4;2;0;1;3;5;2;5;5;2;5;5;3;13,00;12,00;14,00;3;2;1;3;2;1;25642;75023;27409
883;20;2;2;10;16;13;15;19;4;3;5;3;4;4;4;4;2;3;4;2;3;4;4;2;1;3;4;4;2;0;1;2;1;3;5;2;4;4;1;3;5;5,00;8,00;5,00;3;1;2;2;3;1;114258;55753;48974
884;19;1;1;6;9;11;15;18;5;4;2;4;4;3;4;4;2;4;5;5;3;4;2;1;4;4;3;4;2;1;0;2;1;2;4;4;4;3;4;4;3;11,00;5,00;11,00;2;3;1;3;1;2;35144;28829;35745
887;26;2;1;15;16;19;5;22;2;1;5;1;5;5;5;2;5;5;4;4;5;2;4;4;2;5;1;4;2;1;2;0;2;4;4;2;2;3;4;4;3;7,00;11,00;8,00;3;1;2;2;3;1;65162;29874;43520
888;25;2;2;7;4;15;19;16;4;5;4;5;3;2;1;3;2;4;4;5;4;5;2;1;5;4;5;4;3;1;2;0;2;4;3;3;5;3;3;5;3;11,00;11,00;9,00;3;1;2;2;3;1;72497;35199;32652
890;22;2;1;12;13;16;7;24;4;3;4;2;5;4;4;2;5;5;4;4;4;2;4;4;2;4;2;5;1;0;2;1;1;1;5;1;1;5;1;1;5;3,00;3,00;3,00;1;2;3;1;2;3;117970;68372;92412
891;21;2;2;17;11;11;18;23;2;2;4;4;5;4;4;5;2;4;1;4;3;5;5;4;5;3;5;4;1;0;1;2;2;5;4;4;5;2;1;5;5;9,00;13,00;7,00;3;2;1;3;2;1;58287;143278;37143
892;24;2;2;11;13;19;13;20;4;3;5;2;4;3;4;2;3;4;4;3;5;4;4;4;3;5;4;4;2;1;0;2;5;5;2;3;5;3;2;3;3;11,00;14,00;8,00;3;2;1;3;2;1;60840;151155;30529
897;20;2;2;8;15;14;13;19;4;2;4;2;4;3;4;3;4;5;5;3;4;5;4;2;2;3;4;3;3;1;2;0;3;3;3;2;4;4;2;2;4;8,00;6,00;9,00;2;3;1;3;1;2;123028;148960;201417
898;19;2;2;15;18;14;11;23;2;1;4;2;5;4;5;3;4;4;3;2;3;3;4;4;2;4;4;5;1;1;2;0;2;2;3;2;2;3;4;2;2;7,00;10,00;7,00;3;2;1;3;2;1;61190;60669;75576
899;23;2;1;11;15;17;8;12;4;3;5;3;4;4;4;3;5;2;4;2;4;2;2;3;2;5;2;2;4;2;0;1;2;3;5;4;5;3;3;3;4;8,00;6,00;12,00;3;0;3;0;0;0;82161;85664;448903
900;23;1;3;6;4;16;17;25;5;5;5;4;5;3;1;4;2;5;5;5;5;4;5;1;5;4;5;5;1;0;1;2;2;3;3;2;5;4;2;3;3;8,00;9,00;8,00;3;2;1;3;2;1;75696;47341;40936
901;54;2;2;17;13;17;16;21;2;4;5;4;3;4;2;2;2;4;1;1;4;4;4;4;2;4;4;5;1;1;2;0;1;2;4;2;2;4;1;1;5;6,00;3,00;5,00;2;1;3;2;1;3;139379;47536;273950
902;24;1;1;16;11;14;10;20;2;3;4;3;5;4;4;3;4;5;2;4;3;3;4;4;4;4;2;3;3;0;2;1;2;3;5;2;2;5;1;1;5;6,00;3,00;5,00;2;3;1;3;1;2;328736;69325;100032
909;24;2;2;6;10;16;16;24;5;4;4;4;5;2;3;2;1;4;5;4;4;4;5;2;3;4;3;5;1;0;1;2;2;3;5;1;2;5;1;1;5;6,00;4,00;3,00;3;1;2;2;3;1;137921;114101;50285
916;23;2;2;14;12;14;16;20;3;2;4;4;3;4;4;4;3;5;3;4;4;5;4;4;4;4;4;5;3;0;2;1;4;5;3;4;4;3;4;4;3;12,00;11,00;11,00;3;2;1;3;2;1;70831;52504;21319
926;23;2;1;9;9;14;15;21;4;4;4;3;3;4;2;4;2;3;5;4;4;4;5;2;3;4;4;5;1;2;0;1;1;1;4;2;1;4;3;3;4;8,00;4,00;5,00;3;2;1;3;2;1;54970;41724;38167
928;19;2;1;14;12;10;9;19;2;4;3;3;5;4;4;4;4;5;2;3;2;2;2;2;3;3;2;4;3;2;1;0;1;1;5;1;1;5;1;5;5;7,00;3,00;3,00;3;2;1;3;2;1;42114;35148;57341
929;20;2;2;18;12;19;16;21;2;4;5;4;4;5;4;1;1;3;1;2;5;4;4;4;4;4;3;5;1;1;2;0;2;3;5;2;2;4;2;2;4;6,00;6,00;6,00;3;2;1;3;2;1;76724;40582;72055
930;30;2;1;12;15;12;13;21;3;2;1;3;4;3;3;2;3;4;3;2;4;4;4;3;2;3;3;4;1;0;2;1;2;2;4;2;2;4;2;2;4;6,00;6,00;6,00;2;3;1;3;1;2;96977;28556;44320
931;23;2;1;9;8;16;13;16;4;4;4;4;4;3;2;2;3;4;4;4;4;3;3;2;4;4;3;2;3;2;0;1;2;3;4;3;4;4;2;4;4;8,00;7,00;9,00;3;2;1;3;2;1;27961;50872;38382
932;27;2;2;14;16;14;8;20;2;2;4;2;4;4;4;3;4;4;3;2;4;2;4;3;2;3;2;4;2;1;2;0;2;2;4;3;4;4;4;4;4;9,00;10,00;6,00;3;1;2;2;3;1;110023;89851;48938
934;23;2;1;17;10;17;11;13;2;4;5;2;4;4;4;4;2;3;1;4;5;4;2;4;4;5;1;2;4;2;1;0;2;2;5;4;4;2;2;4;4;8,00;12,00;5,00;3;2;1;3;2;1;44853;63284;43131
937;24;2;1;14;13;11;11;23;3;2;4;3;4;4;3;4;4;4;3;4;2;4;5;4;2;3;2;5;1;1;2;0;2;3;3;2;2;3;3;4;2;7,00;11,00;8,00;1;3;2;1;3;2;103664;126569;208088
938;23;2;2;20;17;14;13;25;1;2;4;3;5;5;5;4;4;5;1;2;3;4;5;5;2;5;4;5;1;0;1;2;3;4;4;1;1;5;1;1;5;9,00;3,00;3,00;3;2;1;3;2;1;196024;78762;24246
945;23;2;2;20;12;17;13;25;1;4;4;3;5;5;4;2;2;5;1;4;4;4;5;5;2;5;2;5;1;2;0;1;3;2;4;2;2;4;3;3;3;9,00;7,00;6,00;3;2;1;3;2;1;92421;52107;21858
946;25;1;1;17;10;15;7;21;2;4;4;2;5;4;4;4;5;3;2;3;5;2;4;5;5;4;2;4;1;0;2;1;2;4;4;1;3;4;2;3;5;8,00;6,00;6,00;3;2;1;3;2;1;59716;41116;73346
948;21;2;2;15;16;18;14;24;3;1;5;2;4;4;4;2;2;5;3;2;4;4;5;5;3;5;4;5;1;2;0;1;2;2;5;2;2;5;2;2;5;5,00;5,00;5,00;3;2;1;3;2;1;39920;59313;34912
949;23;2;2;16;12;15;14;24;2;4;4;4;5;5;4;3;3;5;3;4;4;4;4;4;2;4;3;5;1;1;2;0;3;3;3;3;3;3;3;3;2;9,00;10,00;9,00;3;2;1;3;2;1;48972;36251;51015
953;23;2;2;20;6;12;7;17;1;4;2;1;3;5;2;5;4;2;1;5;5;2;4;5;5;4;2;4;2;0;2;1;3;2;1;2;2;4;1;3;2;10,00;8,00;6,00;3;2;1;3;2;1;151207;124466;104141
955;21;2;2;9;10;13;16;19;4;4;5;4;3;3;2;4;3;5;4;3;4;5;5;2;3;2;4;3;3;1;0;2;2;3;4;2;3;4;2;4;3;7,00;7,00;9,00;3;1;2;2;3;1;49780;65069;44611
956;23;2;2;15;12;9;16;15;2;3;2;5;1;4;4;5;4;3;3;4;2;4;5;4;3;4;5;2;2;1;0;2;3;4;2;3;4;2;3;3;4;11,00;11,00;8,00;3;2;1;3;2;1;106910;78545;29157
960;24;2;1;16;15;10;7;20;2;3;3;1;4;5;4;4;3;3;3;2;2;1;5;4;2;3;2;4;2;2;0;1;1;4;5;2;4;5;1;5;5;7,00;6,00;7,00;1;3;2;1;3;2;71812;79383;84578
961;23;1;1;17;10;17;13;18;2;4;5;2;5;4;4;3;2;4;1;4;5;3;2;4;4;4;4;4;3;2;0;1;1;1;5;1;1;5;1;1;5;3,00;3,00;3,00;3;2;1;3;2;1;39941;81862;18391
962;26;2;1;10;13;10;15;16;3;2;3;4;2;2;2;4;4;4;4;3;3;5;2;3;2;2;4;4;2;1;2;0;2;2;4;1;2;5;1;2;5;4,00;4,00;6,00;3;1;2;2;3;1;114160;53043;167852
964;24;2;1;12;14;18;13;25;4;1;5;3;5;4;2;2;3;5;2;4;4;5;5;2;1;5;2;5;1;1;2;0;1;1;5;1;1;5;2;2;5;3,00;5,00;3,00;3;1;2;2;3;1;106783;59422;61856
965;21;2;2;18;11;10;11;14;1;4;2;3;4;4;5;5;2;4;1;4;3;2;2;4;4;4;2;2;4;0;1;2;3;2;2;2;2;3;1;1;3;9,00;7,00;5,00;3;2;1;3;2;1;222079;42120;44581
968;23;1;1;15;11;14;10;18;3;4;4;2;4;4;4;4;4;5;2;4;4;4;3;4;3;4;2;3;3;2;1;0;3;3;3;4;4;2;4;4;2;12,00;12,00;9,00;3;1;2;2;3;1;48015;67294;83120
969;36;2;2;13;14;16;11;21;2;2;4;2;4;4;4;2;3;4;4;3;4;4;4;3;3;4;2;4;1;1;2;0;2;2;4;2;2;3;3;2;3;7,00;8,00;6,00;3;1;2;2;3;1;74348;38767;61092
970;23;2;2;13;11;16;16;16;2;2;4;4;1;2;1;3;2;4;3;3;5;4;4;4;3;4;4;3;2;2;1;0;4;4;2;5;5;1;3;3;3;9,00;15,00;12,00;3;1;2;2;3;1;34921;129303;72609
977;21;1;2;16;10;11;11;25;2;4;2;4;5;5;3;4;5;5;3;4;3;3;5;4;3;4;3;5;1;1;2;0;1;1;5;3;3;3;2;2;4;9,00;6,00;3,00;3;0;3;0;0;0;90525;32499;88515
981;30;2;2;10;10;14;20;21;4;3;4;5;4;3;2;3;1;5;3;4;3;5;5;2;3;4;5;4;3;2;0;1;3;4;3;2;2;4;2;2;4;6,00;10,00;6,00;1;3;2;1;3;2;39460;66760;36410
984;23;2;1;17;12;11;6;23;2;2;2;2;5;4;4;5;4;4;2;4;4;1;4;5;4;4;1;5;1;0;2;1;2;4;3;2;4;3;4;4;2;9,00;12,00;9,00;1;3;2;1;3;2;99322;90841;68124
997;24;2;1;13;13;9;9;16;3;3;2;2;4;3;5;4;4;4;3;3;2;2;4;4;4;3;3;2;4;2;0;1;1;2;5;1;2;5;1;1;5;3,00;4,00;4,00;2;1;3;2;1;3;82992;69781;109786
1000;23;2;1;15;15;13;14;20;2;2;3;4;4;4;5;2;2;3;4;2;4;4;4;5;4;2;2;5;2;1;0;2;4;4;2;2;5;2;2;4;2;11,00;12,00;10,00;3;2;1;3;2;1;68433;86862;40933
1008;22;1;1;9;13;11;7;17;4;3;4;1;4;3;3;5;5;4;5;3;3;2;4;3;2;3;3;3;4;1;2;0;4;4;3;3;5;3;3;3;4;11,00;8,00;11,00;2;3;1;3;1;2;120092;60909;168290
1010;20;2;2;15;18;17;12;15;2;1;4;4;5;5;5;2;3;5;4;2;4;4;3;4;2;5;1;1;5;2;0;1;2;2;4;2;3;3;4;5;4;11,00;6,00;8,00;3;2;1;3;2;1;99991;90402;91835
1014;33;2;2;18;18;15;8;23;1;2;4;1;5;4;5;3;4;4;1;1;4;3;4;4;2;4;2;5;1;0;1;2;3;3;3;2;2;4;3;3;3;9,00;6,00;9,00;1;2;3;1;2;3;111804;48342;65869
1033;22;2;2;18;12;20;10;22;1;4;5;3;5;5;5;1;3;5;2;4;5;2;4;4;3;5;2;4;2;0;2;1;3;2;4;2;2;4;4;4;3;7,00;11,00;6,00;3;1;2;2;3;1;81055;59296;61646
1036;24;2;1;14;11;12;15;23;2;4;3;4;5;4;4;3;3;5;4;3;2;4;4;4;4;4;4;5;2;2;1;0;3;2;5;4;5;3;4;4;4;10,00;12,00;6,00;2;1;3;2;1;3;44438;70079;65087
1037;29;2;1;20;12;20;11;25;1;4;5;1;5;5;4;1;2;5;1;2;5;4;5;5;4;5;2;5;1;1;2;0;1;1;4;2;4;4;1;1;5;8,00;3,00;4,00;3;2;1;3;2;1;44277;17361;46474
1039;22;2;2;14;14;16;13;24;2;4;5;2;5;4;4;3;2;5;3;2;4;5;4;3;2;4;2;5;1;2;1;0;2;1;4;2;1;3;3;3;3;9,00;6,00;5,00;3;2;1;3;2;1;72355;92754;54488
1043;22;2;2;16;16;16;11;17;2;2;4;4;4;4;4;2;4;4;2;2;4;2;4;4;2;4;3;2;3;1;0;2;3;3;4;2;2;5;3;3;4;5,00;8,00;8,00;1;2;3;1;2;3;32474;83433;56492
1045;42;2;1;17;18;20;8;25;1;2;5;2;5;4;4;1;4;5;2;1;5;2;5;4;1;5;2;5;1;2;1;0;1;4;4;3;4;3;4;5;2;13,00;10,00;7,00;3;2;1;3;2;1;30733;66612;30263
1048;44;2;1;12;12;17;10;23;3;2;4;3;4;4;4;2;4;5;4;4;4;3;4;3;4;5;2;5;1;1;2;0;2;2;4;2;3;4;1;2;4;7,00;5,00;6,00;3;2;1;3;2;1;97043;69199;122771
1049;21;1;2;5;7;14;14;24;5;4;4;5;5;2;2;3;4;5;5;5;3;4;5;1;4;4;3;5;2;0;2;1;1;4;4;1;2;4;1;5;4;7,00;8,00;5,00;3;2;1;3;2;1;101777;99769;159307
1050;21;2;2;16;12;14;12;20;2;4;4;2;4;4;4;2;2;4;2;2;2;2;4;4;4;4;4;4;2;0;1;2;2;2;3;2;2;4;2;2;3;7,00;6,00;7,00;3;2;1;3;2;1;70052;83154;93470
1051;21;2;1;6;10;15;10;19;5;2;4;2;4;2;2;3;4;4;5;4;5;2;2;2;4;3;4;5;2;0;1;2;4;5;1;2;4;4;5;5;2;14,00;8,00;14,00;3;2;1;3;2;1;52792;29500;34542
1055;25;2;2;14;6;14;14;24;4;5;4;4;5;5;2;3;4;5;2;5;3;4;5;3;4;4;4;5;2;0;2;1;3;2;4;3;3;3;2;2;4;7,00;6,00;9,00;3;2;1;3;2;1;111160;82307;63873
