CASE;Alter;IT;Geschlecht;Extraversion;Agreeableness;Conscientiousness;Neuroticism;Openess;PE01;PE02;PE03;PE04;PE05;PE06;PE07;PE08;PE09;PE10;PE11;PE12;PE13;PE14;PE15;PE16;PE17;PE18;PE19;PE20;PE21;emojiPos;twoWordPos;threeClassPos;U101;U103;U104;U201;U202;U203;U301;U302;U303;emojiDif;twoWordDif;threeClassDif;pos1;pos2;pos3;emojiRat;twoWordRat;threeClassRat;emojiTime;twoWordTime;threeClassTime
391;31;1;1;6;12;9;14;15;4;1;4;5;4;2;1;5;4;4;5;5;2;5;4;1;1;2;2;2;5;0;2;1;3;4;4;3;4;4;3;4;4;9,00;9,00;9,00;3;2;1;3;2;1;62382;62324;99765
395;23;1;1;15;12;14;9;20;2;3;4;2;5;4;5;4;4;4;3;4;3;3;4;4;4;5;2;4;3;0;1;2;3;4;4;2;3;4;4;4;3;9,00;7,00;11,00;2;3;1;3;1;2;62928;68807;27622
396;26;2;1;14;13;15;11;22;4;4;4;3;4;4;4;4;4;4;2;2;4;2;4;4;3;5;4;5;1;2;1;0;5;4;5;5;5;3;5;5;1;15,00;13,00;10,00;3;0;3;0;0;0;72481;100492;207660
398;31;1;2;12;13;13;10;23;4;3;4;2;5;4;2;5;5;4;4;2;4;2;5;4;2;4;5;4;1;0;1;2;4;3;3;2;2;4;3;3;3;10,00;6,00;9,00;3;2;1;3;2;1;176639;44062;37083
403;22;1;1;17;12;18;8;25;2;2;5;2;5;5;3;2;4;5;2;4;5;2;5;4;3;4;2;5;1;1;2;0;2;4;4;4;5;3;3;5;3;12,00;11,00;8,00;3;2;1;3;2;1;140792;97075;114934
406;27;2;1;16;15;10;14;23;2;2;3;2;4;5;3;4;2;5;3;2;2;4;4;4;2;3;4;5;1;0;2;1;1;1;5;1;2;5;1;4;5;3,00;6,00;4,00;3;1;2;2;3;1;168703;40434;72698
408;26;2;2;17;9;17;8;18;2;4;4;2;4;5;2;2;4;4;2;4;5;2;4;4;3;4;2;3;3;1;2;0;2;3;4;3;5;3;3;3;4;11,00;8,00;7,00;3;2;1;3;2;1;62388;21322;78872
409;23;1;1;12;13;13;8;22;4;3;4;3;5;5;4;5;5;5;4;3;4;2;4;3;3;4;2;5;3;0;2;1;2;4;4;2;4;4;4;5;2;8,00;13,00;8,00;3;1;2;2;3;1;130332;40363;252466
411;24;1;2;5;9;12;17;19;5;3;4;4;3;2;3;4;3;5;5;5;3;5;3;1;4;3;5;4;2;1;2;0;2;3;2;3;4;4;1;2;5;9,00;4,00;9,00;2;3;1;3;1;2;212602;71215;480317
420;23;1;1;18;11;14;11;23;1;2;4;1;5;4;4;4;2;3;2;5;4;2;5;5;4;4;4;5;1;1;2;0;1;1;5;1;1;5;1;3;5;3,00;5,00;3,00;3;2;1;3;2;1;60126;78197;87834
421;24;1;2;15;12;11;16;22;2;3;2;4;4;4;5;4;2;4;3;4;4;4;4;4;4;3;4;5;1;2;0;1;3;3;3;3;3;3;3;3;3;9,00;9,00;9,00;3;1;2;2;3;1;36530;65806;29546
424;23;1;1;10;12;11;9;22;4;2;4;2;5;4;2;5;4;5;4;4;3;3;4;2;2;3;2;4;2;2;0;1;2;3;4;2;3;4;2;2;4;6,00;7,00;7,00;3;1;2;2;3;1;65549;53355;35697
426;23;1;1;5;13;13;8;22;5;3;4;1;4;1;4;4;5;5;5;4;3;1;5;2;2;4;5;4;2;1;0;2;2;4;4;3;3;3;1;1;5;9,00;8,00;3,00;3;1;2;2;3;1;151450;179208;59324
428;20;1;1;12;11;10;10;22;3;2;2;3;4;3;2;4;4;4;3;4;2;2;4;3;3;4;3;5;1;0;1;2;2;4;3;2;4;3;2;3;4;9,00;9,00;7,00;3;2;1;3;2;1;78279;41016;16120
431;24;1;2;9;8;14;13;24;4;3;4;4;5;3;1;2;3;5;4;4;3;3;5;2;4;3;3;4;1;0;2;1;3;3;3;3;2;4;2;2;4;9,00;6,00;7,00;2;3;1;3;1;2;98941;40607;73525
433;22;1;2;15;11;15;15;24;3;4;5;4;5;5;5;2;2;5;3;4;4;4;4;4;4;2;3;5;1;1;0;2;2;1;5;1;1;5;1;1;5;3,00;4,00;3,00;3;1;2;2;3;1;78950;232876;56421
436;31;1;2;12;17;13;17;25;4;2;4;5;5;5;4;4;2;5;3;1;3;4;5;2;2;4;4;5;1;2;1;0;1;3;5;1;3;5;4;5;3;12,00;5,00;5,00;3;2;1;3;2;1;71414;32798;49383
439;27;2;1;14;12;11;10;19;2;3;1;2;5;5;4;4;4;4;4;4;4;4;3;3;3;4;2;4;3;1;0;2;1;1;3;5;5;1;2;4;4;15,00;5,00;8,00;3;2;1;3;2;1;182054;111682;26307
453;41;2;1;17;5;20;4;25;2;5;5;1;5;4;2;1;5;5;1;5;5;1;5;4;5;5;1;5;1;0;2;1;1;1;5;1;1;5;1;1;5;3,00;3,00;3,00;2;1;3;2;1;3;102735;44997;140795
461;28;1;1;13;10;15;9;20;3;4;4;2;4;4;3;3;4;3;4;3;4;2;5;4;4;4;3;4;2;1;2;0;2;3;4;4;4;3;2;2;4;11,00;6,00;7,00;2;3;1;3;1;2;79678;56754;46437
465;26;1;1;14;12;12;12;20;3;2;4;4;4;4;4;4;4;4;3;4;3;3;4;4;4;3;3;4;2;1;2;0;3;5;4;3;5;3;3;5;3;11,00;11,00;10,00;2;3;1;3;1;2;29012;26325;32835
466;20;1;1;12;16;13;10;19;4;3;4;2;4;5;5;4;4;4;4;2;3;3;4;3;2;4;3;4;3;1;2;0;2;3;4;4;4;4;4;4;4;10,00;10,00;7,00;3;1;2;2;3;1;59789;64134;66549
474;23;2;1;14;13;14;12;18;3;3;4;2;5;4;4;3;2;3;2;3;3;3;2;3;3;4;3;4;2;2;1;0;2;3;3;2;3;3;4;5;3;12,00;8,00;8,00;3;2;1;3;2;1;43855;10591;91304
476;28;2;1;9;13;10;9;19;4;2;4;1;4;3;5;4;5;4;4;4;2;3;3;2;4;2;4;4;2;1;2;0;2;2;4;2;4;3;2;5;4;9,00;9,00;6,00;3;2;1;3;2;1;95738;51097;72402
478;31;1;1;8;11;13;11;20;4;3;4;2;5;3;3;3;2;4;5;4;3;2;3;2;3;3;3;4;2;2;0;1;2;1;3;3;1;3;3;2;2;9,00;6,00;7,00;1;2;3;1;2;3;122642;70335;25237
480;23;2;2;20;13;14;9;24;1;4;4;4;5;5;4;3;4;5;1;2;4;2;4;5;3;3;1;5;1;0;2;1;4;4;4;3;3;4;2;3;4;10,00;7,00;8,00;2;3;1;3;1;2;148646;47461;58269
481;23;1;1;11;13;14;9;16;4;3;3;1;3;4;5;4;3;2;3;4;4;2;3;2;3;5;3;4;2;1;2;0;2;2;4;2;4;4;2;2;4;8,00;6,00;6,00;3;2;1;3;2;1;45523;31267;62714
489;34;1;1;10;10;9;10;20;4;4;2;4;2;4;2;5;4;5;4;1;2;2;5;2;5;4;2;4;2;2;0;1;1;1;5;1;1;5;1;5;5;7,00;3,00;3,00;3;2;1;3;2;1;34465;70917;31998
492;22;1;2;13;11;11;16;20;3;3;4;4;4;4;4;4;2;3;4;4;3;4;4;4;4;2;4;4;1;2;0;1;1;2;4;2;2;4;2;3;4;7,00;5,00;6,00;3;2;1;3;2;1;91052;115537;68045
495;19;2;1;15;10;14;10;21;2;2;4;2;5;3;2;4;4;4;2;4;4;3;4;4;4;4;3;4;2;1;2;0;2;1;3;2;2;3;2;2;3;7,00;7,00;6,00;3;2;1;3;2;1;179557;67932;120144
509;62;2;2;17;17;16;9;25;1;2;3;2;5;4;5;3;4;5;2;2;5;3;5;4;2;5;2;5;1;1;2;0;4;4;2;2;5;2;3;5;3;11,00;11,00;12,00;3;2;1;3;2;1;133613;87834;104828
516;24;1;2;13;14;11;18;18;4;4;4;5;4;5;4;4;2;3;3;2;3;4;4;3;2;2;5;4;3;1;2;0;3;2;3;3;4;2;2;1;4;11,00;5,00;8,00;3;2;1;3;2;1;104680;49421;145367
538;23;2;1;14;13;9;12;20;4;2;2;3;4;4;4;4;4;4;2;4;3;4;4;4;3;2;3;4;2;0;1;2;3;4;3;2;2;4;3;3;4;10,00;6,00;8,00;3;2;1;3;2;1;96194;99093;49256
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
