id;D_Gender;D_Age;D_Education;D_Student;D_ComputerScienceBackground;D_Nation;D_ProlificApprovals;Meta_Length;Meta_Lowercase;Meta_Uppercase;Meta_Digits;Meta_Special;Meta_Words;Meta_Plausible;Meta_Number Positions;Meta_Symbol Positions;G_Overall;G_LengthLong;G_LengthShort;G_Weak;G_Medium;G_Strong;G_Complex4class;G_Random2class;G_Passphrase;G_Common;G_Pattern;G_Special;G_Digits;G_Uppercase;B5_Neuroticism;B5_Extraversion;B5_Openness;B5_Agreeableness;B5_Conscientiousness;SeBIS_Securement;SeBIS_Passwords;SeBIS_Awareness;SeBIS_Updating;GDMS_Rational;GDMS_Intuitive;GDMS_Dependent;GDMS_Avoidant;GDMS_Spontaneous
16;Male;23;Professional degree (MD, JD, etc.);Yes;No;Spain;2;12;8;1;3;0;1;Yes;Multiple Numbers / Symbols;Number(s)/Symbol(s) not existing;68;34;34;13;21;29;21;9;11;13;14;27;42;31;14;30;44;42;38;14;14;16;11;24;18;22;6;9
18;Male;21;Bachelor's degree;Yes;No;Spain;7;9;4;2;2;1;0;Yes;Other position;Only at the end;53;26;27;10;16;23;17;8;8;10;10;22;29;24;18;34;40;38;35;15;15;19;12;23;12;11;17;13
19;Female;57;Master's degree;No;No;United Kingdom;142;9;6;1;2;0;1;Yes;Multiple Numbers / Symbols;Number(s)/Symbol(s) not existing;64;34;30;17;17;27;16;7;7;13;21;21;38;23;27;29;35;38;32;12;14;12;12;20;13;13;12;15
20;Female;27;Bachelor's degree;No;Yes;United States;83;10;5;2;1;2;0;Yes;Multiple Numbers / Symbols;Multiple Numbers / Symbols;47;25;22;6;15;21;11;7;9;7;13;17;34;20;28;32;41;43;32;18;12;9;12;20;12;15;16;11
21;Male;35;Master's degree;No;Yes;South Africa;32;10;7;1;2;0;1;Yes;Only at the end;Number(s)/Symbol(s) not existing;56;35;21;11;13;29;15;6;12;9;14;22;33;25;11;39;39;37;40;17;14;16;11;20;13;14;10;16
22;Female;26;Bachelor's degree;Yes;Yes;Mauritius;5;8;3;1;1;1;2;No;Second from last;Only at the end;52;22;30;9;18;20;18;10;7;12;5;20;33;29;26;23;48;23;28;15;13;14;13;24;20;23;24;12
23;Male;39;Bachelor's degree;No;No;Bosnia and Herzegovina;33;10;4;2;4;0;1;Yes;Multiple Numbers / Symbols;Number(s)/Symbol(s) not existing;49;20;29;15;14;16;11;6;6;15;11;18;33;17;35;23;34;35;26;16;11;13;7;20;15;18;16;16
24;Female;26;Master's degree;No;No;Netherlands;42;10;6;1;2;1;1;Yes;Multiple Numbers / Symbols;Second;54;27;27;10;20;20;17;8;5;5;19;16;38;24;36;25;40;36;26;11;14;15;12;19;17;20;15;11
25;Female;27;Master's degree;Yes;No;Netherlands;10;13;7;2;3;1;0;Yes;Multiple Numbers / Symbols;Other position;49;21;28;10;17;18;13;11;7;9;9;18;26;25;33;16;45;47;35;17;13;10;11;24;13;24;10;5
26;Male;23;High school ore equivalent;No;No;Portugal;26;8;5;0;3;0;1;Yes;Only at the end;Number(s)/Symbol(s) not existing;51;25;26;6;19;22;16;7;11;8;9;25;33;25;17;34;33;39;34;18;11;17;11;20;16;19;18;12
28;Female;22;Bachelor's degree;Yes;Yes;India;65;15;12;0;3;0;12;Yes;Only at the end;Number(s)/Symbol(s) not existing;48;26;22;7;17;22;17;6;7;7;11;21;29;26;24;36;32;33;36;11;13;16;10;17;19;19;16;15
29;Male;31;High school ore equivalent;Yes;Yes;Serbia;13;9;0;0;9;0;0;Yes;Number(s)/Symbol(s) not existing;Number(s)/Symbol(s) not existing;51;20;31;11;18;17;12;10;10;12;7;26;37;23;33;22;27;34;19;10;13;12;7;15;15;19;17;14
31;Female;16;High school ore equivalent;Yes;No;Cambodia;2;10;3;5;2;0;0;Yes;Second;Only at the end;56;28;28;12;15;27;20;6;9;14;7;28;29;28;40;32;41;30;30;11;15;10;4;19;13;21;11;11
32;Female;39;High school ore equivalent;No;No;Italy;34;13;13;0;0;0;3;Yes;Number(s)/Symbol(s) not existing;Number(s)/Symbol(s) not existing;58;34;24;12;15;28;18;6;9;9;16;22;34;27;35;10;39;31;24;8;18;10;11;19;19;13;19;11
35;Female;20;Bachelor's degree;Yes;No;United Kingdom;33;8;5;1;2;0;1;Yes;Only at the end;Number(s)/Symbol(s) not existing;48;23;25;10;14;20;12;9;9;9;9;18;26;22;33;33;30;35;33;16;14;11;12;20;11;20;17;13
36;Male;21;Bachelor's degree;Yes;No;United Kingdom;8;8;7;0;1;0;1;Yes;Only at the end;Number(s)/Symbol(s) not existing;65;31;34;9;21;28;16;11;13;13;12;28;39;27;40;21;30;34;21;17;13;14;9;11;20;19;20;15
37;Female;20;Bachelor's degree;Yes;No;Romania;3;8;7;0;1;0;2;Yes;Only at the beginning;Number(s)/Symbol(s) not existing;68;30;38;17;20;24;19;13;6;15;15;24;41;28;33;22;29;35;30;12;13;14;8;17;16;20;19;14
39;Male;20;Bachelor's degree;Yes;Yes;Netherlands;2;9;5;1;2;1;1;Yes;Only at the end;Second from last;67;37;30;15;18;30;21;8;12;12;14;28;41;32;22;30;33;36;33;17;13;15;9;20;16;18;15;13
40;Male;22;High school ore equivalent;Yes;Yes;Greece;31;10;2;3;3;2;0;Yes;Multiple Numbers / Symbols;Multiple Numbers / Symbols;55;27;28;7;21;23;18;9;5;7;16;17;35;26;21;40;35;34;37;16;14;13;13;22;16;19;10;16
41;Male;20;Bachelor's degree;Yes;Yes;Romania;23;14;6;0;8;0;2;Yes;Other position;Number(s)/Symbol(s) not existing;57;27;30;9;20;24;16;7;11;11;12;25;34;25;22;34;38;37;35;11;14;16;15;25;16;22;13;16
43;Male;26;Bachelor's degree;Yes;Yes;Philippines;15;15;12;0;3;0;3;Yes;Only at the end;Number(s)/Symbol(s) not existing;49;27;22;10;15;20;14;6;6;8;15;15;35;20;30;25;33;32;30;19;11;14;10;20;11;19;18;16
46;Male;40;Vocational/technical school (2 year);No;No;Bosnia and Herzegovina;18;9;3;1;6;0;0;No;Only at the beginning;Only at the end;56;31;25;6;18;28;20;8;12;8;8;26;36;31;26;37;39;31;43;7;12;13;11;22;9;18;11;5
47;Female;25;High school ore equivalent;No;No;United Kingdom;9;5;5;0;0;0;1;Yes;Number(s)/Symbol(s) not existing;Number(s)/Symbol(s) not existing;48;19;29;11;18;15;10;11;4;11;12;12;26;20;31;18;31;42;35;10;12;11;12;24;13;16;8;9
48;Male;39;Bachelor's degree;No;No;Portugal;40;9;9;0;9;0;1;No;Only at the end;Number(s)/Symbol(s) not existing;56;34;22;13;15;27;17;2;12;10;15;23;36;24;19;39;33;42;38;17;15;10;11;19;16;15;11;13
49;Male;26;Professional degree (MD, JD, etc.);No;Yes;Croatia;20;16;2;0;13;1;0;Yes;Multiple Numbers / Symbols;Other position;67;32;35;13;26;25;19;9;9;13;17;23;44;30;35;35;38;26;25;16;14;14;8;18;13;10;17;16
50;Male;34;Bachelor's degree;No;Yes;United States;3;11;7;0;4;0;1;Yes;Only at the end;Number(s)/Symbol(s) not existing;60;31;29;11;17;25;19;10;9;8;14;23;40;28;36;13;46;34;20;9;16;16;8;10;19;9;15;16
51;Female;46;High school ore equivalent;No;No;United Kingdom;6;9;6;1;1;1;1;Yes;Other position;Only at the end;52;33;19;7;9;29;16;8;12;5;11;22;33;23;22;38;32;42;24;18;13;12;9;22;15;24;18;11
52;Male;24;Bachelor's degree;No;Yes;Canada;45;10;8;0;1;1;4;Yes;Only at the end;Second;69;34;35;16;20;28;19;10;13;14;13;28;42;30;10;41;37;44;50;20;16;17;15;25;16;15;5;6
53;Male;21;Bachelor's degree;Yes;Yes;Vietnam;53;8;2;3;3;0;0;Yes;Multiple Numbers / Symbols;Only at the beginning;63;34;29;14;15;31;19;6;13;14;11;31;37;28;24;37;35;32;35;17;16;14;12;20;20;14;15;14
54;Male;21;High school ore equivalent;No;No;Brazil;21;8;4;0;4;0;0;Yes;Multiple Numbers / Symbols;Number(s)/Symbol(s) not existing;53;30;23;14;13;23;14;10;7;9;13;16;29;27;25;14;24;36;24;11;14;11;6;22;9;12;8;6
55;Male;21;Professional degree (MD, JD, etc.);Yes;No;Indonesia;12;8;8;0;16;0;2;No;Only at the end;Only at the beginning;71;36;35;16;19;29;19;10;13;16;13;32;50;28;26;28;33;35;33;7;12;13;9;22;18;18;16;19
56;Female;24;Bachelor's degree;No;No;Malaysia;28;7;2;2;1;2;1;Yes;Second;Multiple Numbers / Symbols;44;23;21;9;13;20;17;4;8;8;7;25;33;26;29;29;34;30;32;10;9;9;11;18;18;17;10;14
57;Female;28;Doctoral degree;No;No;Canada;30;7;7;0;1;0;1;No;Second from last;Number(s)/Symbol(s) not existing;45;22;23;9;18;16;18;4;2;7;14;15;32;21;40;34;40;37;34;12;13;10;12;25;17;17;18;17
59;Male;19;Bachelor's degree;Yes;Yes;United Kingdom;24;11;7;2;2;0;1;Yes;Multiple Numbers / Symbols;Number(s)/Symbol(s) not existing;58;30;28;11;16;26;12;10;14;9;13;24;31;24;17;27;40;37;36;13;13;15;11;22;19;18;12;15
60;Male;20;Bachelor's degree;Yes;Yes;Malaysia;5;10;2;4;2;2;4;Yes;Second from last;Only at the end;43;22;21;6;13;19;15;9;5;5;9;15;28;23;34;25;42;39;38;19;14;18;7;25;19;18;23;13
62;Male;27;Master's degree;No;Yes;Serbia;18;16;3;2;6;4;1;No;Other position;Other position;57;26;31;12;19;19;11;14;6;9;17;16;36;21;31;31;30;32;28;12;13;17;9;15;19;20;19;15
63;Female;32;Vocational/technical school (2 year);No;No;United Kingdom;22;9;9;0;0;0;2;Yes;Number(s)/Symbol(s) not existing;Number(s)/Symbol(s) not existing;67;36;31;14;20;29;18;8;14;14;13;28;42;29;37;42;34;38;33;18;14;11;13;21;14;20;10;14
64;Female;35;Vocational/technical school (2 year);No;No;United Kingdom;8;10;6;1;2;1;1;Yes;Other position;Only at the end;62;29;33;13;21;24;16;9;9;13;15;25;43;25;39;17;46;42;28;12;16;10;13;19;14;23;11;15
65;Male;21;Bachelor's degree;Yes;No;Latvia;27;8;8;0;0;0;1;Yes;Number(s)/Symbol(s) not existing;Number(s)/Symbol(s) not existing;66;32;34;14;20;28;18;7;13;17;11;28;40;27;43;10;20;44;29;4;16;17;6;25;9;22;8;5
66;Female;20;Bachelor's degree;Yes;No;United States;1;9;7;0;2;0;1;Yes;Only at the end;Number(s)/Symbol(s) not existing;50;19;31;13;18;16;9;10;7;15;9;18;29;20;42;30;36;25;31;14;14;14;8;20;14;23;20;10
67;Female;49;High school ore equivalent;No;No;;3;10;7;0;3;1;1;No;Multiple Numbers / Symbols;Only at the end;54;30;24;10;15;23;17;11;9;4;13;21;35;27;32;29;33;38;28;19;13;14;14;16;21;19;21;24
68;Female;28;Master's degree;No;No;Morocco;37;9;8;1;3;1;1;No;Only at the end;Second;62;34;28;15;17;27;20;7;11;10;14;31;43;30;27;20;29;41;43;15;15;7;15;25;17;17;6;5
69;Male;21;Bachelor's degree;Yes;Yes;Spain;9;10;2;4;4;0;1;Yes;Multiple Numbers / Symbols;Number(s)/Symbol(s) not existing;29;19;10;3;7;18;9;2;12;3;3;20;18;17;19;28;43;42;32;16;13;17;12;17;19;19;15;19
70;Male;25;Professional degree (MD, JD, etc.);Yes;No;Argentina;46;17;15;1;1;0;3;Yes;Other position;Number(s)/Symbol(s) not existing;47;25;22;8;13;21;15;7;7;5;13;19;30;20;19;24;40;37;34;7;13;13;9;19;15;15;12;10
71;Male;31;Master's degree;No;No;India;14;5;4;1;3;1;1;No;Multiple Numbers / Symbols;Multiple Numbers / Symbols;59;29;30;11;19;26;20;10;9;11;9;28;37;33;20;35;36;40;38;18;12;17;13;22;18;19;11;18
72;Male;41;Bachelor's degree;No;No;;1;9;6;1;1;1;1;Yes;Only at the end;Second from last;48;22;26;7;18;18;13;7;11;7;10;23;37;22;17;33;38;42;37;20;12;10;7;25;15;12;5;11
73;Male;29;Bachelor's degree;Yes;Yes;United Kingdom;7;12;4;5;3;0;0;Yes;Multiple Numbers / Symbols;Multiple Numbers / Symbols;39;18;21;12;12;13;12;4;5;9;9;15;25;18;22;39;34;31;36;19;13;15;14;17;19;15;10;18
74;Male;21;High school ore equivalent;Yes;No;Spain;51;11;11;0;0;0;0;Yes;Number(s)/Symbol(s) not existing;Number(s)/Symbol(s) not existing;70;33;37;13;27;26;19;11;8;13;19;22;44;32;23;25;40;35;25;5;15;18;6;20;15;15;15;13
78;Female;45;Vocational/technical school (2 year);No;No;United Kingdom;16;8;3;1;2;2;0;Yes;Other position;Only at the end;66;33;33;11;22;26;17;11;9;11;18;24;40;25;22;26;35;46;43;20;15;14;13;25;25;19;5;18
79;Female;30;Master's degree;Yes;No;Spain;7;5;2;3;2;1;2;No;Multiple Numbers / Symbols;Only at the end;63;27;36;13;23;24;15;10;11;13;14;26;39;29;26;32;31;30;25;14;17;22;11;21;19;21;17;22
80;Female;24;Bachelor's degree;Yes;No;South Africa;154;9;4;1;4;0;1;Yes;Only at the end;Number(s)/Symbol(s) not existing;52;30;22;11;14;23;15;8;7;8;14;18;32;22;40;24;39;34;28;13;15;13;9;24;12;20;18;8
82;Male;22;High school ore equivalent;No;No;Brazil;7;8;1;1;4;0;4;No;Other position;Number(s)/Symbol(s) not existing;61;37;24;14;14;30;17;6;12;11;15;24;37;27;17;37;45;37;44;18;13;12;10;25;18;5;8;6
83;Female;25;Other;No;No;United Kingdom;73;8;6;1;1;0;1;Yes;Only at the end;Number(s)/Symbol(s) not existing;53;24;29;7;21;20;12;10;12;8;11;22;36;24;21;28;41;32;39;20;15;15;12;23;17;20;10;13
89;Female;36;Bachelor's degree;No;No;Spain;7;8;6;0;2;0;1;Yes;Only at the end;Number(s)/Symbol(s) not existing;57;34;23;11;16;27;18;6;10;8;15;24;37;27;28;23;39;37;34;17;12;12;9;22;15;20;14;14
105;Male;31;High school ore equivalent;No;No;United States;89;15;12;3;7;1;7;No;Multiple Numbers / Symbols;Multiple Numbers / Symbols;49;25;24;11;15;21;13;4;12;9;11;22;31;22;27;35;32;37;33;16;16;13;15;18;14;18;15;13
135;Female;26;Master's degree;No;No;Belgium;37;10;9;0;1;0;0;Yes;Only at the end;Number(s)/Symbol(s) not existing;60;30;30;9;20;24;16;14;8;6;16;19;36;26;34;12;37;43;37;6;13;13;8;24;17;24;9;8
138;Female;26;Other;No;No;United Kingdom;61;8;8;0;2;0;1;No;Only at the end;Number(s)/Symbol(s) not existing;56;25;31;11;16;22;16;9;10;10;11;22;38;24;35;38;37;34;40;14;13;14;9;24;20;22;10;12
139;Male;29;Master's degree;No;No;Germany;34;16;5;3;4;1;1;No;Second from last;Multiple Numbers / Symbols;35;18;17;7;10;13;11;7;4;3;10;13;25;16;22;37;34;34;38;20;12;15;10;20;17;18;12;10
140;Female;21;Other;Yes;No;United Kingdom;243;11;10;0;1;0;2;Yes;Only at the end;Number(s)/Symbol(s) not existing;69;30;39;14;24;24;18;14;9;12;16;25;46;31;40;17;32;33;38;16;14;16;9;19;13;21;21;11
141;Female;36;Bachelor's degree;No;No;United Kingdom;456;12;10;0;2;0;1;Yes;Only at the beginning;Second;51;30;21;6;15;27;18;5;8;7;13;20;31;24;34;41;38;33;25;15;17;14;12;12;18;22;20;21
142;Male;26;Bachelor's degree;No;No;United States;59;15;6;3;3;2;0;No;Multiple Numbers / Symbols;Multiple Numbers / Symbols;51;29;22;7;15;25;12;6;11;8;14;19;34;21;33;15;27;33;27;5;15;18;9;18;12;15;22;10
143;Male;23;Bachelor's degree;Yes;Yes;Italy;34;12;10;1;1;0;2;Yes;Only at the end;Number(s)/Symbol(s) not existing;55;28;27;9;15;26;20;7;10;12;6;24;34;28;30;26;34;33;28;13;12;10;10;21;17;21;13;15
144;Female;26;Bachelor's degree;No;No;United Kingdom;598;9;9;0;3;0;1;No;Only at the end;Number(s)/Symbol(s) not existing;56;30;26;12;17;23;21;8;5;7;15;20;35;28;25;30;47;42;42;18;14;10;12;24;25;25;19;8
145;Male;25;High school ore equivalent;Yes;No;Germany;23;10;8;0;2;0;1;Yes;Multiple Numbers / Symbols;Number(s)/Symbol(s) not existing;42;22;20;4;17;20;16;2;10;7;7;24;29;23;45;28;48;22;23;9;13;19;14;18;25;21;25;25
146;Male;21;Bachelor's degree;Yes;No;United States;22;15;9;3;0;2;3;No;Number(s)/Symbol(s) not existing;Second from last;65;35;30;16;17;29;18;8;14;13;12;31;39;30;25;28;27;39;39;19;16;14;10;22;20;18;11;18
147;Male;41;Vocational/technical school (2 year);No;Yes;United States;174;15;7;2;6;0;0;Yes;Multiple Numbers / Symbols;Number(s)/Symbol(s) not existing;53;31;22;6;16;28;18;8;11;5;11;23;31;29;21;42;49;35;30;18;17;11;11;19;9;12;10;11
148;Male;34;Master's degree;No;No;Brazil;31;11;7;1;1;2;1;Yes;Second from last;Only at the end;73;33;40;18;22;27;18;9;12;18;16;29;48;27;36;22;38;41;29;17;13;15;11;25;10;25;25;12
149;Male;35;High school ore equivalent;No;No;United Kingdom;108;8;4;2;1;1;0;Yes;Other position;Second from last;40;20;20;10;11;17;14;4;6;9;7;16;25;21;48;37;44;31;30;8;15;12;15;19;15;14;14;15
150;Female;22;High school ore equivalent;Yes;Yes;Hungary;30;8;2;2;4;0;1;Yes;Only at the beginning;Number(s)/Symbol(s) not existing;39;20;19;7;9;16;13;11;2;5;8;10;24;18;30;29;43;26;28;8;13;9;8;22;18;22;24;11
151;Female;27;Bachelor's degree;No;No;United Kingdom;53;8;6;1;1;0;1;Yes;Only at the end;Number(s)/Symbol(s) not existing;54;29;25;9;16;26;15;10;7;9;13;18;26;25;27;21;37;43;43;14;14;14;12;24;24;24;6;18
152;Female;39;Bachelor's degree;No;No;United Kingdom;44;10;3;3;2;2;0;Yes;Other position;Other position;47;22;25;12;14;17;9;8;9;12;9;16;27;17;20;41;36;43;43;19;15;13;13;21;18;9;7;12
153;Female;31;Vocational/technical school (2 year);No;No;United States;89;13;9;1;3;0;2;Yes;Only at the beginning;Number(s)/Symbol(s) not existing;56;27;29;9;21;22;16;8;8;9;15;20;37;23;25;32;47;42;33;15;11;10;9;21;16;5;20;10
154;Male;30;Professional degree (MD, JD, etc.);Yes;No;United States;197;9;7;1;1;0;0;Yes;Only at the end;Number(s)/Symbol(s) not existing;49;26;23;7;16;22;17;6;7;5;14;21;32;24;18;43;37;30;40;18;14;15;10;19;21;11;13;20
155;Female;40;Master's degree;No;No;United Kingdom;224;9;5;1;2;1;6;Yes;Only at the end;Second from last;54;27;27;12;16;23;18;7;7;12;10;20;32;26;39;21;35;31;37;8;15;12;9;22;16;11;17;11
156;Male;24;High school ore equivalent;Yes;No;Portugal;10;10;7;0;3;0;7;Yes;Only at the beginning;Number(s)/Symbol(s) not existing;73;36;37;13;24;30;18;12;12;13;18;28;46;30;27;45;33;40;30;15;13;12;13;16;23;21;18;21
157;Male;61;Grammar school;No;No;United Kingdom;182;9;4;1;4;1;1;No;Only at the end;Other position;56;30;26;12;17;24;18;4;7;9;18;20;38;25;24;19;15;33;43;12;15;11;13;13;20;24;7;7
158;Female;20;Professional degree (MD, JD, etc.);Yes;No;Peru;21;10;10;0;0;2;1;No;Number(s)/Symbol(s) not existing;Only at the beginning;51;25;26;8;17;21;12;7;9;9;14;20;33;18;35;23;43;26;30;5;10;12;9;19;16;19;22;15
159;Female;31;Bachelor's degree;No;No;Indonesia;32;16;10;0;6;0;2;Yes;Only at the end;Number(s)/Symbol(s) not existing;69;34;35;11;21;30;18;14;10;12;15;24;36;28;31;20;29;36;36;4;13;14;9;17;19;11;10;15
160;Male;20;High school ore equivalent;Yes;No;Poland;33;14;13;1;3;0;3;No;Multiple Numbers / Symbols;Number(s)/Symbol(s) not existing;52;32;20;12;12;25;15;6;9;8;14;19;33;25;23;21;35;38;39;15;16;9;15;21;12;19;7;8
161;Male;21;Doctoral degree;No;Yes;Vietnam;11;8;4;1;6;0;10;No;Only at the end;Only at the beginning;56;29;27;14;17;22;15;8;10;9;14;23;33;27;31;23;33;33;29;14;12;13;11;22;21;18;17;14
163;Male;30;Bachelor's degree;Yes;Yes;Canada;22;18;4;1;12;1;1;Yes;Multiple Numbers / Symbols;Other position;29;18;11;4;7;16;11;3;7;3;5;14;21;17;31;33;43;36;33;19;14;12;11;20;16;15;15;10
164;Female;24;Bachelor's degree;No;No;Canada;280;9;4;1;3;1;1;Yes;Only at the end;Only at the end;61;25;36;17;20;19;14;10;5;15;17;20;38;22;33;23;41;38;37;7;11;16;12;21;16;18;15;8
165;Male;24;Bachelor's degree;No;No;United States;474;9;6;1;2;0;1;Yes;Only at the end;Number(s)/Symbol(s) not existing;53;27;26;10;14;24;17;10;7;9;10;18;30;27;20;40;40;34;35;16;15;12;12;21;11;16;10;10
166;Male;33;Bachelor's degree;No;No;Brazil;21;9;0;0;9;0;0;Yes;Multiple Numbers / Symbols;Number(s)/Symbol(s) not existing;50;27;23;8;15;24;13;5;11;10;11;20;36;22;23;31;42;37;32;17;15;12;14;13;24;14;22;16
167;Female;25;Master's degree;Yes;Yes;Romania;36;13;7;1;2;3;2;Yes;Only at the end;Second;56;26;30;11;17;23;19;7;9;13;8;28;43;27;27;48;42;31;47;9;11;11;14;24;8;15;6;6
169;Male;36;Bachelor's degree;No;Yes;United Kingdom;459;9;4;1;3;1;1;Yes;Only at the end;Second from last;54;28;26;8;15;26;19;7;7;9;12;21;32;26;25;20;36;37;24;11;14;14;11;20;19;16;23;20
171;Male;26;Master's degree;No;No;India;112;14;10;1;3;0;1;Yes;Second from last;Second;53;21;32;11;18;17;16;14;6;11;6;20;29;26;20;36;45;36;37;20;13;15;13;17;21;16;13;16
172;Male;27;Professional degree (MD, JD, etc.);Yes;No;United Kingdom;127;8;5;1;1;1;0;Yes;Other position;Only at the end;69;37;32;13;18;31;19;10;12;10;18;27;42;28;26;25;42;36;31;11;11;18;9;20;13;19;15;10
175;Male;23;Bachelor's degree;Yes;Yes;India;16;2;2;0;2;9;6;No;Only at the end;Second from last;60;30;30;14;17;24;16;10;10;11;13;27;36;27;37;28;36;40;34;16;9;15;9;20;21;12;13;13
176;Male;21;Bachelor's degree;Yes;Yes;Indonesia;19;12;8;1;3;0;9;Yes;Only at the end;Number(s)/Symbol(s) not existing;61;26;35;12;22;24;18;10;9;13;11;26;37;31;25;20;33;41;32;11;18;12;14;22;20;16;18;16
