id;N;N;N;N;N;N;N;N;N;N;E;E;E;E;E;E;E;E;E;E;O;O;O;O;O;O;O;O;O;O;A;A;A;A;A;A;A;A;A;A;C;C;C;C;C;C;C;C;C;C
23;3;4;3;4;3;3;4;4;3;4;2;3;2;3;1;2;2;3;2;3;3;3;2;4;3;4;3;4;3;5;4;3;5;4;4;2;3;4;3;3;2;2;4;3;3;3;2;2;3;2
24;3;4;4;4;3;4;2;4;4;4;3;2;2;4;2;2;2;3;2;3;4;4;3;4;4;4;4;5;4;4;4;3;4;4;3;4;3;4;4;3;3;2;3;3;2;3;2;2;4;2
25;3;3;4;2;4;2;3;3;5;4;2;1;1;1;2;1;1;3;1;3;4;4;3;5;5;4;5;5;5;5;5;3;5;4;5;5;5;5;5;5;3;2;3;4;4;3;4;4;4;4
26;1;1;1;1;1;3;1;2;5;1;5;2;2;2;5;3;4;3;4;4;2;3;3;4;4;2;4;5;1;5;3;3;4;4;5;4;2;5;5;4;4;3;4;4;3;3;4;3;3;3
28;1;1;3;3;5;3;2;2;2;2;4;3;3;3;4;4;4;5;3;3;3;4;4;3;4;2;4;2;4;2;4;4;4;3;3;3;3;3;4;2;4;4;3;3;3;3;4;4;4;4
29;1;3;3;2;3;4;5;4;3;5;4;2;1;2;2;1;3;3;2;2;1;3;2;2;2;1;4;5;3;4;3;3;4;2;4;3;4;3;4;4;2;2;2;2;2;3;1;1;3;1
31;3;4;5;5;5;3;2;5;5;3;4;4;3;5;4;2;2;2;2;4;5;3;3;5;3;5;5;4;3;5;1;3;3;5;4;2;3;3;4;2;3;4;3;3;4;4;2;2;2;3
32;3;4;5;3;4;4;1;4;4;3;1;1;1;1;1;1;1;1;1;1;2;4;1;4;5;5;4;5;4;5;5;1;4;1;4;3;3;3;4;3;2;2;3;3;2;4;1;1;4;2
35;2;4;4;3;4;3;2;4;4;3;4;4;4;4;3;2;2;4;2;4;2;2;2;4;4;4;4;2;2;4;2;2;4;3;4;4;4;4;4;4;4;3;4;3;2;4;2;3;4;4
36;4;4;4;4;3;4;4;4;4;5;2;2;3;3;2;1;2;2;2;2;4;4;3;3;3;4;3;1;1;4;4;3;3;2;4;4;3;4;4;3;2;2;2;2;2;2;2;2;3;2
37;2;4;3;4;4;2;4;3;3;4;3;3;3;2;2;2;1;2;3;1;2;2;2;2;3;2;4;4;4;4;2;3;4;3;5;3;3;4;5;3;3;4;4;2;4;4;2;2;3;2
39;2;2;2;3;2;2;2;3;2;2;4;3;2;3;3;3;3;3;3;3;3;3;3;4;3;3;4;4;3;3;3;4;4;4;4;4;2;4;4;3;3;3;4;3;3;3;4;3;4;3
40;1;1;2;4;2;2;1;4;2;2;5;4;3;4;4;4;4;4;4;4;3;4;3;4;4;3;4;3;3;4;3;4;5;3;3;3;3;4;4;2;4;3;4;4;4;4;3;3;4;4
41;2;1;3;2;2;2;2;2;3;3;4;3;3;4;3;2;4;4;3;4;5;3;4;4;3;3;5;4;4;3;4;4;4;4;3;4;3;4;5;2;4;4;4;4;2;3;2;3;5;4
43;4;2;3;2;5;2;2;4;3;3;4;3;1;2;3;3;2;2;3;2;4;4;2;3;2;3;5;2;4;4;4;4;4;3;2;2;3;4;4;2;3;3;3;3;3;3;2;3;3;4
46;2;2;3;1;4;3;2;4;3;2;4;4;3;3;4;3;4;3;4;5;4;4;3;2;3;4;5;5;4;5;1;3;4;4;5;3;3;3;4;1;4;4;4;5;4;4;4;4;5;5
47;2;4;3;3;2;2;4;3;4;4;2;2;1;1;2;1;2;3;2;2;3;5;4;2;2;5;4;2;2;2;5;3;4;4;5;3;4;5;5;4;2;4;4;4;3;4;3;4;4;3
48;1;1;3;3;1;1;1;3;4;1;5;3;4;3;5;3;4;4;4;4;2;4;4;3;2;4;4;5;1;4;4;4;5;4;5;4;2;5;5;4;3;4;4;5;3;3;4;4;4;4
49;3;3;4;3;4;4;2;4;4;4;4;4;3;5;3;4;2;3;3;4;4;4;3;4;2;4;4;5;4;4;1;4;4;1;3;2;3;3;3;2;3;2;2;2;3;3;2;2;4;2
50;4;3;5;2;2;4;3;4;5;4;1;1;1;1;2;1;1;2;1;2;5;5;4;5;5;4;4;5;4;5;4;4;4;4;3;2;3;5;3;2;2;1;2;3;1;2;1;2;4;2
51;1;1;2;2;4;2;2;4;2;2;5;4;3;4;5;2;5;4;3;3;4;3;2;4;3;3;4;3;3;3;3;5;5;4;5;3;5;5;4;3;2;2;2;5;2;2;1;2;4;2
52;1;1;1;1;1;1;1;1;1;1;5;3;4;4;5;3;5;4;4;4;3;3;4;5;3;3;5;3;3;5;2;5;5;4;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5
53;2;2;4;3;2;2;2;2;4;1;4;3;3;3;5;4;4;4;4;3;2;4;4;4;3;3;4;4;4;3;2;4;4;4;4;3;2;3;4;2;4;3;4;2;4;4;4;4;4;2
54;1;4;3;3;3;1;1;3;4;2;1;1;1;1;1;1;1;3;1;3;1;2;3;2;2;1;3;5;1;4;3;3;5;4;5;2;4;5;4;1;2;2;4;3;3;3;2;2;2;1
55;1;2;4;2;4;2;1;4;4;2;4;3;2;2;4;2;3;4;2;2;4;3;3;4;4;2;5;3;3;2;3;4;4;4;2;5;2;4;4;3;1;3;3;3;2;4;4;5;4;4
56;2;3;2;3;3;2;2;4;4;4;3;3;3;4;3;1;3;3;3;3;3;4;3;3;5;3;3;2;3;5;2;3;3;3;3;3;3;4;4;2;3;4;3;2;3;3;3;3;4;4
57;3;5;5;4;4;5;3;4;4;3;3;4;2;4;4;2;3;4;4;4;3;5;4;3;4;3;4;5;5;4;3;4;3;3;4;4;4;5;5;2;4;3;4;4;3;3;2;3;4;4
59;1;2;2;2;1;2;1;1;4;1;4;1;1;2;3;2;4;4;3;3;4;5;3;5;5;4;4;2;3;5;2;4;4;4;5;4;3;4;5;2;4;3;4;4;3;4;3;4;4;3
60;3;3;4;5;5;3;2;4;3;2;4;2;2;2;3;2;3;2;2;3;5;4;5;4;5;3;5;3;3;5;4;4;4;4;5;5;3;5;4;1;4;3;4;4;3;2;5;4;5;4
62;4;4;4;3;3;4;2;2;3;2;4;2;2;2;4;4;4;2;4;3;2;4;4;3;3;2;3;3;3;3;2;5;3;3;3;3;3;3;4;3;4;3;3;3;2;2;2;3;3;3
63;4;4;4;4;4;4;2;4;4;3;5;3;3;5;4;4;4;5;4;5;4;4;5;1;3;5;4;2;2;4;2;4;4;4;3;4;5;5;5;2;4;1;2;4;3;4;3;4;4;4
64;3;5;4;4;3;5;3;4;4;4;2;1;1;3;1;1;3;1;3;1;4;5;3;4;5;5;5;5;5;5;2;3;4;5;4;4;5;5;5;5;2;4;2;3;1;4;1;3;5;3
65;5;5;5;5;1;5;5;2;5;5;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;5;3;3;1;5;4;5;3;5;3;5;5;5;4;5;1;5;1;2;3;1;1;5;5
66;4;4;4;4;5;4;4;5;4;4;2;4;2;4;4;2;2;4;2;4;2;4;4;4;2;4;4;4;4;4;1;4;2;2;2;2;2;2;4;4;5;2;4;2;4;4;2;2;2;4
67;3;2;4;4;4;4;1;4;4;2;4;2;5;3;4;2;3;2;2;2;4;2;3;2;4;5;3;5;1;4;2;4;5;4;3;4;4;4;5;3;3;2;3;2;2;4;2;4;3;3
68;1;4;3;4;1;1;2;4;5;2;3;4;1;1;2;3;2;2;1;1;3;2;1;5;2;4;5;2;1;4;2;4;5;2;5;5;4;4;5;5;4;1;5;5;5;5;5;3;5;5
69;2;1;3;2;4;1;1;1;3;1;4;3;2;1;3;2;3;3;3;4;4;4;3;5;4;4;5;5;5;4;3;4;5;4;5;4;3;5;5;4;4;2;4;2;2;4;4;4;4;2
70;1;1;2;2;2;2;2;3;2;2;3;2;2;1;2;1;3;4;3;3;3;3;3;5;4;4;4;5;4;5;2;3;4;3;4;4;5;5;4;3;4;4;3;4;3;5;3;3;2;3
71;1;2;3;2;3;2;1;3;2;1;4;2;5;4;4;3;4;2;4;3;3;3;4;2;4;4;5;3;3;5;3;4;4;5;4;4;3;4;5;4;4;3;4;2;4;3;4;4;5;5
72;1;1;1;2;1;1;2;2;4;2;4;3;2;4;4;2;4;4;2;4;4;4;3;4;4;4;4;3;3;5;4;4;4;4;5;4;5;5;4;3;4;2;4;4;3;5;3;4;4;4
73;2;2;2;2;2;2;2;3;3;2;4;3;4;4;4;4;4;4;4;4;5;4;4;4;2;2;4;4;2;3;2;3;3;4;2;4;3;3;4;3;4;3;4;4;5;4;3;2;4;3
74;2;1;3;3;2;4;1;3;2;2;3;2;2;3;2;1;2;3;3;4;4;4;2;4;3;5;5;5;4;4;4;3;3;3;4;4;3;4;4;3;3;3;4;2;2;3;1;3;2;2
78;1;4;2;3;1;1;3;2;2;3;4;1;1;3;3;2;4;3;3;2;3;2;3;3;4;4;5;3;3;5;5;4;5;5;5;5;4;5;5;3;4;4;5;5;4;5;5;4;4;3
79;3;3;4;2;4;4;1;2;2;1;4;1;3;2;4;4;3;3;5;3;2;5;4;3;4;1;4;1;3;4;2;5;3;3;2;5;1;1;5;3;4;3;2;2;1;1;3;2;3;4
80;4;4;4;4;4;4;4;4;4;4;2;2;2;4;2;2;2;2;2;4;4;4;3;4;4;4;4;4;4;4;2;3;4;4;4;4;3;4;4;2;2;2;2;4;2;4;2;4;4;2
82;1;1;3;1;2;1;1;3;3;1;5;2;4;1;4;3;4;5;4;5;5;5;5;1;5;4;5;5;5;5;1;3;5;4;5;3;3;5;5;3;4;5;4;5;3;3;5;5;5;5
83;2;2;2;4;1;1;2;2;2;3;4;2;2;3;2;2;3;4;2;4;4;4;4;4;4;4;4;4;5;4;2;2;4;3;4;3;4;4;4;2;4;2;4;4;4;4;4;4;5;4
89;2;4;4;3;3;3;1;3;2;3;2;3;2;2;2;2;2;4;1;3;4;5;3;5;5;1;5;5;1;5;3;3;3;3;5;4;3;5;4;4;3;3;4;4;3;3;4;3;4;3
105;1;1;4;3;3;4;2;3;4;2;5;3;3;4;4;3;3;3;3;4;4;2;4;2;3;3;5;3;2;4;2;3;3;4;5;4;4;5;5;2;3;4;4;3;3;4;4;2;3;3
135;4;5;4;2;1;4;3;2;4;5;2;1;1;1;1;1;1;2;1;1;4;2;3;4;4;2;4;5;5;4;5;2;5;4;5;5;3;5;4;5;4;5;4;5;5;3;4;1;2;4
138;2;4;4;4;4;4;2;4;4;3;4;4;3;4;4;3;3;5;3;5;3;4;3;4;4;4;5;3;3;4;2;3;5;4;2;4;3;4;5;2;5;4;5;4;4;5;2;3;4;4
139;1;1;2;2;3;2;2;3;4;2;5;3;3;3;4;4;4;3;4;4;2;4;4;4;4;2;4;3;3;4;3;4;4;3;4;4;3;3;4;2;4;3;4;4;4;4;4;3;4;4
140;4;5;4;4;3;4;4;4;4;4;2;1;2;2;2;1;1;2;2;2;4;4;2;3;2;2;4;5;4;2;4;2;4;2;4;4;3;4;4;2;4;4;4;4;4;4;4;2;4;4
141;3;4;3;4;3;3;3;4;4;3;5;4;3;4;4;4;5;4;4;4;3;5;4;3;3;5;4;4;3;4;2;4;2;2;3;4;4;4;4;4;3;1;2;5;2;2;1;2;3;4
142;4;2;4;3;3;3;3;3;4;4;2;1;1;1;1;1;2;2;2;2;3;2;3;3;2;1;3;4;4;2;3;3;3;3;4;3;3;4;3;4;3;1;3;3;2;3;2;4;3;3
143;3;4;4;3;3;2;2;4;2;3;3;2;2;2;2;2;3;4;3;3;4;2;3;4;3;4;4;3;3;4;3;3;4;2;4;3;2;4;4;4;3;3;2;4;2;4;2;2;3;3
144;2;4;2;4;1;2;3;2;2;3;3;2;1;3;4;3;4;3;3;4;4;5;3;5;5;5;5;5;5;5;3;3;5;3;5;4;5;5;5;4;5;4;4;4;3;5;4;4;5;4
145;5;1;5;5;5;5;4;5;5;5;1;3;2;3;1;3;2;5;5;3;5;5;5;5;5;5;5;5;3;5;1;3;1;4;1;1;5;1;4;1;2;5;5;1;1;1;1;1;5;1
146;1;3;3;3;1;3;1;4;4;2;4;3;2;2;4;2;3;3;2;3;3;4;4;3;2;1;5;2;2;1;2;4;4;4;5;4;4;5;5;2;4;5;4;4;3;4;2;4;5;4
147;1;1;3;2;3;3;2;1;2;3;4;4;4;4;4;3;5;5;4;5;5;5;5;5;5;5;5;5;4;5;2;4;5;2;4;3;4;4;4;3;4;2;3;4;2;3;2;3;4;3
148;3;4;5;2;5;4;2;2;5;4;4;2;1;1;2;1;3;3;2;3;3;5;5;5;5;3;5;1;1;5;4;5;4;3;5;5;3;5;5;2;1;5;3;3;3;3;1;3;5;2
149;5;5;5;5;5;5;4;4;5;5;2;4;4;5;3;3;4;5;3;4;4;4;3;5;5;4;5;5;4;5;2;3;4;3;3;5;2;3;4;2;4;4;3;3;3;4;1;2;3;3
150;2;2;4;3;4;2;2;4;4;3;3;1;1;3;3;1;3;5;4;5;5;5;4;5;5;2;5;4;3;5;2;4;3;3;3;2;2;3;3;1;3;1;5;2;1;3;3;2;5;3
151;1;4;3;2;4;3;1;4;4;1;4;2;1;2;2;1;2;3;2;2;5;4;3;4;3;4;4;3;3;4;5;4;4;4;5;4;5;5;5;2;4;4;4;4;5;5;4;4;5;4
152;1;1;1;4;2;2;1;1;5;2;4;4;5;3;4;4;5;4;4;4;4;1;3;4;4;5;5;3;3;4;4;4;4;3;5;4;5;5;4;5;3;4;4;5;5;5;5;4;4;4
153;1;1;3;4;2;3;2;4;3;2;4;2;2;2;4;2;4;5;3;4;4;5;4;5;5;5;4;5;5;5;4;4;4;3;5;4;5;5;4;4;3;2;4;4;2;4;4;3;4;3
154;1;1;1;4;3;1;1;3;1;2;5;5;5;5;3;3;4;4;4;5;5;5;3;2;4;2;5;3;3;5;2;5;3;3;3;3;2;3;4;2;5;2;5;5;4;5;5;2;4;3
155;2;4;4;4;4;4;4;5;4;4;2;1;1;2;2;1;4;2;2;4;2;5;4;4;4;4;4;2;2;4;2;4;4;1;4;4;2;4;4;2;5;2;4;4;2;4;2;4;5;5
156;1;1;3;4;4;2;1;5;3;3;5;5;5;5;5;5;3;2;5;5;3;4;3;3;2;2;5;5;3;3;2;5;5;5;4;5;3;3;5;3;3;2;4;2;1;3;2;4;5;4
157;2;1;4;2;1;3;2;2;4;3;4;1;1;1;3;1;2;2;2;2;1;1;1;1;1;1;4;2;1;2;5;3;5;1;5;1;2;4;5;2;4;4;5;5;5;5;5;3;2;5
158;3;4;3;4;4;3;4;4;3;3;2;2;1;3;2;1;2;3;3;4;4;4;2;5;5;4;4;5;5;5;2;3;3;2;2;4;2;3;3;2;4;4;3;3;2;3;2;3;4;2
159;3;4;3;3;2;2;3;3;4;4;2;2;2;2;2;1;2;3;2;2;1;3;3;2;3;4;3;4;3;3;4;3;4;3;4;3;4;4;4;3;4;4;4;3;3;4;4;3;3;4
160;1;2;3;3;3;4;1;2;3;1;2;1;1;1;4;1;3;2;2;4;2;4;4;5;1;2;4;5;4;4;3;5;5;4;5;3;1;5;5;2;4;2;5;3;4;3;4;5;5;4
161;2;3;3;3;5;5;2;2;4;2;2;2;2;1;5;1;3;3;3;1;1;5;3;4;1;4;4;3;3;5;4;3;3;3;3;4;4;3;4;2;3;3;3;2;3;3;2;3;4;3
163;4;2;4;3;2;3;3;2;4;4;3;3;2;2;4;3;4;4;4;4;4;4;4;4;4;4;4;5;5;5;2;4;4;3;5;3;4;4;4;3;4;3;4;4;2;4;3;3;4;2
164;2;4;4;4;3;4;1;5;4;2;3;1;2;2;3;2;2;3;2;3;4;5;3;4;4;4;4;4;4;5;2;4;4;4;5;4;4;5;4;2;3;4;4;4;3;5;3;4;5;2
165;2;1;2;2;3;2;2;2;2;2;4;4;3;4;5;4;5;3;4;4;3;5;4;3;4;5;4;4;4;4;2;4;4;3;3;4;3;3;4;4;4;3;4;3;3;4;3;3;4;4
166;1;2;2;3;2;2;2;3;2;4;3;2;2;4;3;2;3;4;3;5;4;5;4;4;4;3;4;5;5;4;2;4;5;4;4;3;2;5;5;3;4;2;4;3;3;3;2;3;5;3
167;1;4;3;5;2;3;1;4;3;1;5;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;3;3;1;2;3;1;4;5;2;4;5;4;1;5;4;5;5;5;5;5;4;4;5
169;3;2;3;2;2;3;2;2;3;3;2;2;2;2;1;2;2;3;2;2;2;3;3;4;4;4;3;5;5;3;4;3;3;3;4;4;4;5;3;4;3;2;2;2;2;2;2;3;3;3
171;1;1;2;4;3;1;2;2;2;2;4;2;1;5;4;3;4;5;4;4;5;5;4;4;4;4;5;5;4;5;2;3;4;2;4;4;4;4;5;4;4;4;4;4;2;5;3;3;4;4
172;2;2;3;2;4;2;3;2;3;3;2;2;2;2;2;2;3;3;3;4;5;4;4;5;4;4;5;3;4;4;3;3;4;3;4;4;4;4;4;3;4;2;4;3;3;3;3;2;4;3
175;2;4;4;4;4;3;4;4;3;5;5;1;2;5;3;2;3;2;3;2;3;3;3;2;5;4;5;5;2;4;4;4;3;4;5;2;5;4;5;4;5;2;1;3;4;2;4;5;3;5
176;2;2;5;2;2;3;2;1;3;3;2;2;2;1;2;1;2;3;4;1;1;4;4;2;4;5;5;2;1;5;5;5;4;4;5;4;3;3;4;4;3;3;2;2;4;3;2;4;5;4
